2  3.9 0.4905553861661433
5  8.8 1.0741702004844227
10  13.2 1.4300336806471003
15  15.7 1.5918905891570598
20  17.9 1.700057663479302
25  20.2 1.6964851867369952
30  22.5 1.7998938681935919
35  24.0 1.8346495391716153
40  26.7 1.8749548700569902
45  26.8 1.9060667871217585
50  29.6 1.9509521160093228
55  30.4 1.9385107732534959
60  30.7 1.9852235402618288
65  31.0 1.9816768912014957
70  30.6 2.0052319626143906
75  32.6 2.041704974507307
80  34.2 2.034471083529172
85  34.4 2.0315012514655875
90  34.6 2.04400256617313
95  36.2 2.0672032838729626
100  37.6 2.047958344123809
120  38.9 2.070757804122784
140  41.7 2.1154794485459507
160  44.5 2.1285146777964488
180  46.4 2.134770912540327
200  49.1 2.1633558159565913
